_7 Wonders II,DS,Puzzle,Rondomedia,0.13,0.15,0,0.03,0.31,5,0,,MumboJumbo,E,60,
_7 Wonders of the Ancient World,DS,Puzzle,Funsta,0.1,0.01,0,0.01,0.13,7,8.3,48,Hot Lava Games,E,60,
_7 Wonders of the Ancient World,PSP,Puzzle,Mumbo Jumbo,0.07,0,0,0.01,0.08,10,0,,MumboJumbo,E,51,
_7th Dragon III Code: VFD,3DS,Role-Playing,Sega,0.04,0,0.12,0,0.17,26,8.2,38,Sega,T,77,
_A Boy and His Blob,Wii,Platform,Majesco Entertainment,0.18,0.01,0,0.01,0.21,43,8.7,35,WayForward,E,80,
_A Game of Thrones: Genesis,PC,Strategy,Focus Home Interactive,0,0.03,0,0.01,0.03,40,4,110,Cyanide,,53,
_A Vampyre Story,PC,Adventure,Crimson Cow,0,0.01,0,0,0.02,33,8.5,25,Autumn Moon,T,75,
_A Witch's Tale,DS,Role-Playing,Nippon Ichi Software,0.08,0,0.03,0.01,0.11,17,6.2,9,"Nippon Ichi Software, Hit Maker",E10+,50,
_ABBA: You Can Dance,Wii,Misc,Ubisoft,0.18,0.49,0,0.1,0.77,5,0,,Ubisoft,E10+,66,
_AC/DC LIVE: Rock Band Track Pack,PS3,Misc,MTV Games,0.21,0.01,0,0.02,0.24,12,5.3,14,Harmonix Music Systems,T,60,
_AC/DC LIVE: Rock Band Track Pack,X360,Misc,MTV Games,0.21,0,0,0.02,0.23,16,4.9,10,Harmonix Music Systems,T,63,
_Academy of Champions: Soccer,Wii,Sports,Ubisoft,0.09,0.02,0,0.01,0.12,20,6.8,14,Ubisoft Vancouver,E,64,
_Ace Attorney Investigations: Miles Edgeworth,DS,Adventure,Capcom,0.23,0.14,0.3,0.04,0.7,51,8.4,79,Capcom,T,78,
_Ace Combat 04: Shattered Skies,PS2,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,22,9.1,95,Namco,E,89,
_Ace Combat 2,PS,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,10,8.2,22,Namco,T,83,
_Ace Combat 5: The Unsung War,PS2,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,57,9.1,81,Namco,T,84,
_Ace Combat 6: Fires of Liberation,X360,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,54,7.9,101,Project Aces,T,80,
_Ace Combat X: Skies of Deception,PSP,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19,0.99,26,8.3,30,Project Aces,T,75,
_Ace Combat Zero: The Belkan War,PS2,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,45,8.4,55,Namco,T,75,
_Ace Combat: Assault Horizon,PS3,Action,Namco Bandai Games,0.3,0.15,0.22,0.07,0.74,28,6.7,82,Project Aces,T,77,
_Ace Combat: Assault Horizon,X360,Action,Namco Bandai Games,0.3,0.12,0.03,0.04,0.49,71,6.2,82,Project Aces,T,78,
_Ace Combat: Assault Horizon Legacy,3DS,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,37,7.8,26,Project Aces,T,71,
_Ace Combat: Joint Assault,PSP,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,30,7.2,12,Project Aces,T,71,
_Achtung Panzer: Kharkov 1943,PC,Strategy,Mamba Games,0,0.01,0,0,0.02,6,8.3,20,Paradox Interactive,,70,
_Act of Aggression,PC,Strategy,Focus Home Interactive,0,0.01,0,0,0.01,37,7.1,93,Eugen Systems,,71,
_Action Bass,PS,Action,Take-Two Interactive,0.64,0.43,0,0.07,1.14,8,0,,Vingt-et-un Systems,E,51,
_Active Life: Extreme Challenge,Wii,Sports,Namco Bandai Games,0.14,0.27,0,0.06,0.47,13,0,,TOSE,E,56,
_Active Life: Outdoor Challenge,Wii,Sports,Atari,0.78,0.43,0.19,0.14,1.54,6,8.1,14,h.a.n.d. Inc.,E,69,
_Activision Anthology,PS2,Misc,Activision,0.25,0.19,0,0.06,0.5,13,7.7,6,Contraband Entertainment,E,75,
_Activision Anthology,GBA,Misc,Activision,0.03,0.01,0,0,0.05,13,0,,Aspyr,E,79,
_Activision Hits: Remixed,PSP,Misc,Activision,0.05,0,0,0,0.05,10,0,,Digital Eclipse,E,75,
_Adrenalin Misfits,X360,Racing,Konami Digital Entertainment,0.12,0.02,0,0.01,0.14,32,0,,Konami,E,50,
_Advance Guardian Heroes,GBA,Role-Playing,Ubisoft,0.03,0.01,0,0,0.04,25,0,,Treasure,E,65,
_Advance Wars,GBA,Strategy,Nintendo,0.5,0.19,0,0.01,0.7,28,9,95,Intelligent Systems,E,92,
_Advance Wars 2: Black Hole Rising,GBA,Strategy,Nintendo,0.47,0.17,0,0.01,0.65,34,9.4,97,Intelligent Systems,E,89,
_Advance Wars: Days of Ruin,DS,Strategy,Nintendo,0.43,0.12,0,0.05,0.61,55,8.7,96,Intelligent Systems,E10+,86,
_Advance Wars: Dual Strike,DS,Strategy,Nintendo,0.3,0.02,0.04,0.03,0.39,49,9,163,Intelligent Systems,E,90,
_Advent Rising,XB,Action,THQ,0.1,0.03,0,0,0.13,50,7.5,68,GlyphX Games,T,68,
_Adventure Time: The Secret of the Nameless Kingdom,3DS,Action,Little Orbit,0,0.07,0,0,0.08,5,5.6,8,WayForward,E10+,65,
_Adventure Time: The Secret of the Nameless Kingdom,X360,Action,Little Orbit,0,0.05,0,0,0.06,5,7.5,4,WayForward,E10+,58,
_Aedis Eclipse: Generation of Chaos,PSP,Role-Playing,Idea Factory,0.02,0,0,0,0.02,20,6.5,11,"Neverland, Idea Factory",E10+,62,
_Aegis of Earth: Protonovus Assault,PS4,Action,PQube,0.02,0,0,0,0.03,11,7.8,9,Acquire,T,57,
_Aeon Flux,PS2,Action,THQ,0.02,0.02,0,0.01,0.04,19,5.8,9,Terminal Reality,T,66,
_Aeon Flux,XB,Action,THQ,0.01,0,0,0,0.01,27,3,4,Terminal Reality,T,69,
_Aero Elite: Combat Academy,PS2,Simulation,Sega,0.04,0.03,0,0.01,0.07,18,7,8,Sega AM2,E,64,
_Afrika,PS3,Adventure,Unknown,0.12,0,0.08,0.01,0.22,12,6.2,34,Rhino Studios,E10+,63,
_Afro Samurai,X360,Action,Atari,0.16,0.05,0,0.02,0.24,70,6.2,57,"Namco Bandai Games America, Namco Bandai Games",M,65,
_Afro Samurai,PS3,Action,Atari,0.12,0.05,0,0.03,0.2,52,6.1,27,"Namco Bandai Games America, Namco Bandai Games",M,65,
_Agatha Christie: And Then There Were None,Wii,Adventure,The Adventure Company,0.06,0.01,0,0.01,0.07,23,6.2,12,AWE Games,T,50,
_Agatha Christie: Evil Under the Sun,Wii,Adventure,The Adventure Company,0.06,0.01,0,0.01,0.08,6,7.3,6,AWE Games,T,46,
_Agatha Christie: The ABC Murders,DS,Adventure,JoWood Productions,0.08,0.01,0,0.01,0.1,11,6.5,4,Dreamcatcher,T,53,
_Agatha Christie: The ABC Murders,PC,Adventure,Microids,0,0.02,0,0,0.02,15,8.5,144,Artefacts Studio,,66,
_Agatha Christie's The ABC Murders,PS4,Adventure,Microids,0.01,0.01,0,0,0.03,17,6.2,12,Microids,T,67,
_Agatha Christie's The ABC Murders,XOne,Adventure,Microids,0.01,0,0,0,0.01,7,7.5,8,Microids,,66,
_Age of Conan: Rise of the Godslayer,PC,Role-Playing,Funcom,0,0.02,0,0,0.03,14,8.4,52,Funcom,M,83,
_Age of Empires II: The Age of Kings,PC,Strategy,Microsoft Game Studios,0.01,0.08,0,0.01,0.09,21,9,801,Ensemble Studios,T,92,
_Age of Empires III,PC,Strategy,Microsoft Game Studios,0,0.33,0,0.05,0.38,52,7.7,519,Ensemble Studios,T,81,
_Age of Empires III: The Asian Dynasties,PC,Strategy,Microsoft Game Studios,0,0.05,0,0.01,0.06,19,8.5,71,Big Huge Games,T,81,
_Age of Empires Online,PC,Strategy,Microsoft Game Studios,0.01,0.04,0,0.01,0.06,44,5.6,186,Gas Powered Games,E10+,70,
_Age of Empires: Mythologies,DS,Strategy,THQ,0.16,0.03,0,0.02,0.21,28,6.9,20,Griptonite Games,E10+,78,
_Age of Empires: The Age of Kings,DS,Strategy,THQ,0.18,0.02,0,0.02,0.22,38,7.9,59,Backbone Entertainment,E10+,80,
_Age of Mythology,PC,Strategy,Microsoft Game Studios,0.02,0.06,0,0.01,0.09,31,8.9,484,Ensemble Studios,T,89,
_Age of Mythology: The Titans,PC,Strategy,Microsoft Game Studios,0.02,0.02,0,0,0.04,25,8.7,119,Ensemble Studios,T,84,
_Aggressive Inline,PS2,Sports,Acclaim Entertainment,0.17,0.13,0,0.04,0.35,31,8.7,14,"Z-Axis, Ltd.",T,85,
_Aggressive Inline,XB,Sports,Acclaim Entertainment,0.05,0.01,0,0,0.06,20,7.7,7,"Z-Axis, Ltd.",T,85,
_Aggressive Inline,GC,Sports,Acclaim Entertainment,0.04,0.01,0,0,0.06,16,7.8,5,"Z-Axis, Ltd.",T,88,
_Air Conflicts: Aces of World War II,PSP,Simulation,Graffiti,0.05,0,0,0,0.05,12,0,,Cowboy Rodeo,T,36,
_Air Conflicts: Secret Wars,PS3,Simulation,bitComposer Games,0.1,0.06,0,0.03,0.19,8,0,,Games Farm,T,51,
_Air Conflicts: Secret Wars,X360,Simulation,bitComposer Games,0.06,0.02,0,0.01,0.08,14,0,,Games Farm,T,61,
_Air Conflicts: Secret Wars,PC,Simulation,bitComposer Games,0,0.02,0,0.01,0.03,5,6.4,24,Games Farm,T,65,
_Air Traffic Chaos,DS,Simulation,Ertain,0.05,0,0,0,0.05,8,0,,Sonic Powered,E,66,
_Airblade,PS2,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,18,5.8,12,Criterion Games,T,70,
_Airborne Troops: Countdown to D-Day,PS2,Shooter,Playlogic Game Factory,0.06,0.05,0,0.02,0.12,4,8.1,9,WideScreen Games,T,39,
_AirForce Delta Storm,XB,Shooter,Konami Digital Entertainment,0.14,0.04,0,0.01,0.18,21,7.1,7,KCE Studios,E,61,
_AirForce Delta Storm,GBA,Shooter,Konami Digital Entertainment,0.02,0.01,0,0,0.02,6,0,,Konami,E,71,
_AirForce Delta Strike,PS2,Simulation,Konami Digital Entertainment,0.05,0.04,0,0.01,0.11,22,7,6,KCE Studios,T,66,
_Airline Tycoon 2,PC,Simulation,Kalypso Media,0,0.04,0,0.01,0.05,4,5.5,30,Kalypso,E,57,
_Alan Wake,X360,Action,Microsoft Game Studios,0.66,0.5,0.05,0.13,1.33,100,8.1,1156,Remedy Entertainment,T,83,
_Alan Wake,PC,Action,Nordic Games,0,0.06,0,0.01,0.06,30,8,1473,Remedy Entertainment,T,83,
_Alex Rider: Stormbreaker,DS,Action,THQ,0.06,0,0,0,0.07,11,6.1,10,Altron,T,48,
_Alias,PS2,Action,Acclaim Entertainment,0.05,0.04,0,0.01,0.11,31,8,10,Acclaim Studios Cheltenham,T,64,
_Alias,XB,Action,Acclaim Entertainment,0.04,0.01,0,0,0.05,37,6,4,Acclaim Studios Cheltenham,T,64,
_Alice in Wonderland,Wii,Adventure,Disney Interactive Studios,0.25,0.21,0,0.05,0.51,18,7.4,13,Etranges Libellules,E10+,69,
_Alice in Wonderland,DS,Adventure,Disney Interactive Studios,0.25,0.17,0,0.04,0.47,24,0,,Etranges Libellules,E10+,78,
_Alice: Madness Returns,PS3,Adventure,Electronic Arts,0.22,0.24,0.04,0.08,0.58,51,7.9,181,Spicy Horse,M,70,
_Alice: Madness Returns,X360,Adventure,Electronic Arts,0.27,0.14,0.04,0.04,0.5,67,8.1,157,Spicy Horse,M,70,
_Alice: Madness Returns,PC,Adventure,Electronic Arts,0,0.1,0,0.02,0.12,29,8.4,559,Spicy Horse,M,75,
_Alien Hominid,PS2,Shooter,Zoo Digital Publishing,0.05,0.04,0,0.01,0.1,47,8.3,13,The Behemoth,T,78,
_Alien Hominid,GC,Shooter,O3 Entertainment,0.07,0.02,0,0,0.09,28,8.5,15,The Behemoth,T,78,
_Alien Resurrection,PS,Shooter,Fox Interactive,0.09,0.06,0,0.01,0.16,12,7.5,15,Argonaut Games,M,61,
_Alien Syndrome,PSP,Role-Playing,Sega,0.07,0,0,0.01,0.08,20,6,9,Totally Games,T,51,
_Alien Syndrome,Wii,Role-Playing,Sega,0.05,0,0,0,0.06,24,7.1,23,Totally Games,T,48,
_Alien: Isolation,PS4,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,50,8.1,795,Creative Assembly,M,79,
_Alien: Isolation,XOne,Shooter,Sega,0.22,0.24,0,0.04,0.51,24,7.8,314,Creative Assembly,M,78,
_Alien: Isolation,PC,Shooter,Sega,0,0.14,0,0.01,0.14,41,8.4,1588,Creative Assembly,M,81,
_Alienators: Evolution Continues,GBA,Action,Activision,0.03,0.01,0,0,0.03,4,0,,Digital Eclipse,E,54,
_Aliens in the Attic,DS,Action,Playlogic Game Factory,0.05,0,0,0,0.05,7,6,5,Engine Software,E10+,58,
_Aliens versus Predator: Extinction,PS2,Strategy,Electronic Arts,0.09,0.07,0,0.02,0.19,17,8.4,30,Zono Inc.,T,66,
_Aliens versus Predator: Extinction,XB,Strategy,Electronic Arts,0.06,0.02,0,0,0.08,19,7.7,21,Zono Inc.,T,64,
_Aliens vs Predator,X360,Shooter,Sega,0.55,0.4,0,0.11,1.06,64,7.3,247,Rebellion,M,64,
_Aliens vs Predator,PS3,Shooter,Sega,0.41,0.46,0,0.18,1.04,57,7.3,168,Rebellion,M,65,
_Aliens vs Predator,PC,Shooter,Sega,0,0.17,0,0.02,0.19,35,7.4,985,Rebellion,M,68,
_Aliens vs Predator: Requiem,PSP,Action,Vivendi Games,0.03,0.12,0,0.07,0.22,34,5.6,19,Rebellion,T,49,
_Aliens: Colonial Marines,X360,Shooter,Sega,0.36,0.34,0,0.07,0.77,47,3.8,449,Gearbox Software,M,48,
_Aliens: Colonial Marines,PS3,Shooter,Sega,0.2,0.29,0,0.11,0.6,25,3.6,295,Gearbox Software,M,43,
_Aliens: Colonial Marines,PC,Shooter,Sega,0.1,0.06,0,0.02,0.18,40,3.5,1156,Gearbox Software,M,45,
_Aliens: Infestation,DS,Action,Sega,0.09,0.05,0,0.02,0.16,43,8.2,29,"Gearbox Software, WayForward",T,76,
_All Star Karate,Wii,Action,THQ,0.13,0.07,0,0.02,0.22,4,0,,THQ,E10+,46,
_All-Pro Football 2K8,X360,Sports,Take-Two Interactive,0.24,0,0,0.02,0.26,22,6.8,52,Visual Concepts,E10+,75,
_All-Pro Football 2K8,PS3,Sports,Take-Two Interactive,0.14,0,0,0.01,0.15,23,7.3,21,Visual Concepts,E10+,73,
_All-Star Baseball 2002,PS2,Sports,Acclaim Entertainment,0.27,0.21,0,0.07,0.56,16,7.6,8,Acclaim Studios Austin,E,77,
_All-Star Baseball 2002,GC,Sports,Acclaim Entertainment,0.17,0.04,0,0.01,0.22,17,5.6,9,Acclaim,E,66,
_All-Star Baseball 2003,PS2,Sports,Acclaim Entertainment,0.38,0.29,0,0.1,0.77,15,8.4,17,Acclaim Studios Austin,E,81,
_All-Star Baseball 2003,XB,Sports,Acclaim Entertainment,0.19,0.06,0,0.01,0.26,15,8.1,7,Acclaim,E,79,
_All-Star Baseball 2003,GC,Sports,Acclaim Entertainment,0.12,0.03,0,0,0.15,16,8,6,Acclaim,E,83,
_All-Star Baseball 2003,GBA,Sports,Acclaim Entertainment,0.11,0.04,0,0,0.15,6,0,,Software Creations,E,77,
_All-Star Baseball 2004,PS2,Sports,Acclaim Entertainment,0.21,0.16,0,0.05,0.42,19,7.5,11,Acclaim Studios Austin,E,78,
_All-Star Baseball 2004,XB,Sports,Acclaim Entertainment,0.1,0.03,0,0,0.13,20,8.4,7,Acclaim,E,74,
_All-Star Baseball 2004,GC,Sports,Acclaim Entertainment,0.06,0.02,0,0,0.08,14,9.2,5,Acclaim,E,80,
_All-Star Baseball 2005,PS2,Sports,Unknown,0.16,0.12,0,0.04,0.32,13,8.6,21,Acclaim,E,72,
_All-Star Baseball 2005,XB,Sports,Unknown,0.11,0.03,0,0.01,0.15,31,8.8,12,Acclaim,E,75,
_Alone in the Dark,X360,Adventure,Atari,0.14,0.3,0,0.05,0.48,53,5.7,162,Eden Studios,M,58,
_Alone in the Dark,Wii,Adventure,Atari,0.09,0.08,0,0.02,0.18,10,4.4,34,Hydravision,M,39,
_Alone in the Dark,PS2,Adventure,Atari,0.03,0.02,0,0.01,0.06,10,5.4,24,Hydravision,M,47,
_Alone in the Dark,PC,Adventure,Atari,0,0.01,0,0,0.01,19,5.7,148,Eden Studios,M,55,
_Alone in the Dark: Inferno,PS3,Adventure,Atari,0.09,0.03,0,0.02,0.13,25,5.6,50,Eden Studios,M,69,
_Alone in the Dark: The New Nightmare,PS,Adventure,Infogrames,0.09,0.06,0,0.01,0.16,15,8.1,40,Darkworks,M,77,
_Alpha Protocol,PS3,Role-Playing,Sega,0.19,0.17,0,0.07,0.43,49,6.9,117,Obsidian Entertainment,M,64,
_Alpha Protocol,X360,Role-Playing,Sega,0.23,0.12,0,0.04,0.39,68,7.2,201,Obsidian Entertainment,M,63,
_Alpha Protocol,PC,Role-Playing,Sega,0,0.03,0,0.01,0.03,25,7.5,511,Obsidian Entertainment,M,72,
_Alter Echo,PS2,Shooter,THQ,0.06,0.05,0,0.02,0.13,26,7,9,Outrage Games,T,62,
_Alter Echo,XB,Shooter,THQ,0.04,0.01,0,0,0.05,24,0,,Outrage Games,T,62,
_Alter Ego,PC,Simulation,Activision,0,0.03,0,0.01,0.03,9,5.8,19,"Viva Media, Viva Media, LLC",T,59,
_Altered Beast: Guardian of the Realms,GBA,Action,THQ,0.07,0.02,0,0,0.09,13,4.8,4,3d6 Games,T,63,
_Alundra,PS,Role-Playing,Psygnosis,0.13,0.09,0,0.01,0.23,9,9,41,Matrix Software,T,86,
_Alvin and the Chipmunks,PS2,Misc,Brash Entertainment,0.04,0.03,0,0.01,0.07,5,4.5,6,Sensory Sweep,E,33,
_Alvin and the Chipmunks,Wii,Misc,Eidos Interactive,0.05,0,0,0,0.05,4,3.6,20,Sensory Sweep,E,30,
_Amazing Island,GC,Strategy,Sega,0.04,0.01,0,0,0.06,22,6.6,7,Hitmaker,E,59,
_American Bass Challenge,GBA,Sports,Starfish,0.03,0.01,0,0,0.05,5,0,,Starfish,E,69,
_American Chopper,PS2,Racing,Zoo Digital Publishing,0.35,0.01,0,0.06,0.42,4,7.5,13,Creat Studios,T,47,
_American Chopper,XB,Racing,Zoo Digital Publishing,0.11,0.03,0,0.01,0.15,6,5.9,9,Creat Studios,T,44,
_American Chopper 2: Full Throttle,GC,Racing,Activision,0.04,0.01,0,0,0.05,4,0,,Creat Studios,T,54,
_American Idol,PS2,Misc,Codemasters,0.27,0.21,0,0.07,0.55,14,4.8,12,Hothouse Creations,E,41,
_America's Army: Rise of a Soldier,XB,Shooter,Ubisoft,0.19,0.05,0,0.01,0.25,19,7.4,21,Secret Level,T,70,
_America's Army: True Soldiers,X360,Shooter,Ubisoft,0.08,0,0,0.01,0.08,11,6.7,55,Red Storm Entertainment,T,43,
_America's Test Kitchen: Let's Get Cooking,DS,Simulation,Nintendo,0.25,0,0,0.02,0.26,4,5.6,9,Indies Zero,E,87,
_AMF Bowling 2004,XB,Sports,Mud Duck Productions,0.22,0.06,0,0.01,0.3,6,4.4,8,__,,48,
_AMF Xtreme Bowling,PS2,Sports,Mastertronic,0.01,0.01,0,0,0.02,4,4.2,5,"Atomic Planet Entertainment, Mud Duck Productions",E,30,
_Amped 2,XB,Sports,Microsoft Game Studios,0.2,0.04,0,0.01,0.25,34,7.7,20,Indie Built,E,80,
_Amped 3,X360,Sports,Take-Two Interactive,0.13,0.02,0,0.01,0.16,49,7.1,36,2K Sports,T,72,
_Amped: Freestyle Snowboarding,XB,Sports,Microsoft Game Studios,0.69,0.11,0,0.02,0.82,30,9,20,Indie Built,E,78,
_Amplitude,PS2,Misc,Sony Computer Entertainment,0.09,0.07,0,0.02,0.18,35,8.8,26,Harmonix Music Systems,T,86,
_Anarchy Reigns,PS3,Action,Sega,0.1,0.03,0.06,0.02,0.2,35,8.2,106,PlatinumGames,M,71,
_Anarchy Reigns,X360,Action,Sega,0.12,0.02,0.02,0.01,0.17,38,7.9,105,PlatinumGames,M,73,
_Angry Birds Star Wars,PS3,Strategy,Activision,0.1,0.14,0,0.05,0.29,6,3.6,23,Exient Entertainment,E,49,
_Angry Birds Star Wars,X360,Strategy,Activision,0.16,0.1,0,0.02,0.28,3,5.6,25,Exient Entertainment,E,59,
_Angry Birds Star Wars,PS4,Strategy,Activision,0.1,0.08,0,0.04,0.21,5,2,87,Exient Entertainment,E,47,
_Angry Birds Star Wars,XOne,Strategy,Activision,0.11,0.04,0,0.02,0.16,4,6.9,63,Exient Entertainment,E,53,
_Angry Birds Trilogy,3DS,Action,Activision,0.38,0.2,0,0.05,0.63,7,4.6,20,Exient Entertainment,E,62,
_Angry Birds Trilogy,X360,Action,Activision,0.18,0.05,0,0.02,0.26,13,3.5,27,"Rovio Mobile, Rovio Entertainment",E,63,
_Angry Birds Trilogy,PS3,Action,Activision,0.12,0.02,0,0.03,0.16,8,3.7,20,"Rovio Mobile, Rovio Entertainment",E,66,
