Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Score,User_Count,Developer,Rating,Critic_Score
15 Days,PC,2009,Adventure,DTP Entertainment,0,0.01,0,0,0.01,6,5.8,8,DTP Entertainment,,63
1701 A.D.,PC,2006,Simulation,Deep Silver,0,0.25,0,0.04,0.3,30,8.3,38,Related Designs,E10+,79
18 Wheeler: American Pro Trucker,PS2,2001,Racing,Acclaim Entertainment,0.2,0.15,0,0.05,0.4,11,5.7,18,Acclaim Studios Cheltenham,E,61
18 Wheeler: American Pro Trucker,GC,2002,Racing,Acclaim Entertainment,0.09,0.02,0,0,0.11,17,6.8,8,Acclaim Studios Cheltenham,E,52
187: Ride or Die,PS2,2005,Racing,Ubisoft,0.07,0.06,0,0.02,0.15,33,6.8,12,Ubisoft,M,52
187: Ride or Die,XB,2005,Racing,Ubisoft,0.05,0.01,0,0,0.06,40,6.9,8,Ubisoft Paris,M,51
2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,19,5.6,18,EA Sports,E,73
2002 FIFA World Cup,XB,2002,Sports,Electronic Arts,0.14,0.04,0,0.01,0.19,17,9,4,Software Creations,E,79
2002 FIFA World Cup,GC,2002,Sports,Electronic Arts,0.04,0.01,0,0,0.05,9,7.7,6,EA Sports,E,78
2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,56,7.8,57,EA Canada,E,82
2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.32,0.42,0.02,0.09,0.85,61,8.1,58,Electronic Arts,E,83
2010 FIFA World Cup South Africa,PSP,2010,Sports,Electronic Arts,0.09,0.22,0.03,0.12,0.46,11,7.4,9,Electronic Arts,E,69
2010 FIFA World Cup South Africa,Wii,2010,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.42,19,6.7,11,Electronic Arts,E,70
2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,33,4.3,87,EA Canada,E,73
2014 FIFA World Cup Brazil,X360,2014,Sports,Electronic Arts,0.15,0.25,0,0.03,0.42,29,4.4,93,EA Canada,E,74
24: The Game,PS2,2006,Adventure,Sony Computer Entertainment,0.15,0.12,0,0.04,0.3,53,8.2,40,SCE Studio Cambridge,M,62
25 to Life,PS2,2006,Shooter,Eidos Interactive,0.35,0.01,0,0.06,0.42,23,4.9,46,"Ritual Entertainment, Avalanche Software",M,39
25 to Life,XB,2006,Shooter,Eidos Interactive,0.12,0.04,0,0.01,0.17,20,7.2,13,"Ritual Entertainment, Avalanche Software",M,41
300: March to Glory,PSP,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0,0.07,0.41,31,7.1,14,Collision Studios,M,55
3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,66,8,96,Silicon Studio,E10+,77
4x4 EVO 2,XB,2001,Racing,Gathering of Developers,0.18,0.05,0,0.01,0.24,15,6.2,5,Terminal Reality,E,59
4x4 EVO 2,GC,2002,Racing,Vivendi Games,0.11,0.03,0,0,0.14,7,0,,Terminal Reality,E,56
4x4 Evolution,PS2,2001,Racing,Gathering of Developers,0.16,0.12,0,0.04,0.32,11,0,,Terminal Reality,E,64
50 Cent: Blood on the Sand,X360,2009,Shooter,THQ,0.12,0.07,0,0.02,0.21,54,6.4,64,Swordfish Studios,M,71
50 Cent: Blood on the Sand,PS3,2009,Shooter,THQ,0.1,0.06,0.01,0.03,0.19,37,7.2,57,Swordfish Studios,M,72
50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games,0.85,0.76,0,0.16,1.77,21,6.6,129,Genuine Games,M,47
50 Cent: Bulletproof,XB,2005,Action,Vivendi Games,0.33,0.1,0,0.02,0.44,14,5.9,21,Genuine Games,M,50
7 Days to Die,PS4,2016,Action,Telltale Games,0.04,0.08,0,0.02,0.14,16,5.9,140,The Fun Pimps Entertainment LLC,M,45
7 Days to Die,XOne,2016,Action,Telltale Games,0.03,0.02,0,0,0.05,17,5.2,74,The Fun Pimps Entertainment LLC,M,35
7 Wonders II,DS,2009,Puzzle,Rondomedia,0.13,0.15,0,0.03,0.31,5,0,,MumboJumbo,E,60
7 Wonders of the Ancient World,DS,2007,Puzzle,Funsta,0.1,0.01,0,0.01,0.13,7,8.3,48,Hot Lava Games,E,60
7 Wonders of the Ancient World,PSP,2007,Puzzle,Mumbo Jumbo,0.07,0,0,0.01,0.08,10,0,,MumboJumbo,E,51
7th Dragon III Code: VFD,3DS,2015,Role-Playing,Sega,0.04,0,0.12,0,0.17,26,8.2,38,Sega,T,77
A Boy and His Blob,Wii,2009,Platform,Majesco Entertainment,0.18,0.01,0,0.01,0.21,43,8.7,35,WayForward,E,80
A Game of Thrones: Genesis,PC,2011,Strategy,Focus Home Interactive,0,0.03,0,0.01,0.03,40,4,110,Cyanide,,53
A Vampyre Story,PC,2008,Adventure,Crimson Cow,0,0.01,0,0,0.02,33,8.5,25,Autumn Moon,T,75
A Witch's Tale,DS,2009,Role-Playing,Nippon Ichi Software,0.08,0,0.03,0.01,0.11,17,6.2,9,"Nippon Ichi Software, Hit Maker",E10+,50
ABBA: You Can Dance,Wii,2011,Misc,Ubisoft,0.18,0.49,0,0.1,0.77,5,0,,Ubisoft,E10+,66
AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,MTV Games,0.21,0.01,0,0.02,0.24,12,5.3,14,Harmonix Music Systems,T,60
AC/DC LIVE: Rock Band Track Pack,X360,2008,Misc,MTV Games,0.21,0,0,0.02,0.23,16,4.9,10,Harmonix Music Systems,T,63
Academy of Champions: Soccer,Wii,2009,Sports,Ubisoft,0.09,0.02,0,0.01,0.12,20,6.8,14,Ubisoft Vancouver,E,64
Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,Capcom,0.23,0.14,0.3,0.04,0.7,51,8.4,79,Capcom,T,78
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,22,9.1,95,Namco,E,89
Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,10,8.2,22,Namco,T,83
Ace Combat 5: The Unsung War,PS2,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,57,9.1,81,Namco,T,84
Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,54,7.9,101,Project Aces,T,80
Ace Combat X: Skies of Deception,PSP,2006,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19,0.99,26,8.3,30,Project Aces,T,75
Ace Combat Zero: The Belkan War,PS2,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,45,8.4,55,Namco,T,75
Ace Combat: Assault Horizon,PS3,2011,Action,Namco Bandai Games,0.3,0.15,0.22,0.07,0.74,28,6.7,82,Project Aces,T,77
Ace Combat: Assault Horizon,X360,2011,Action,Namco Bandai Games,0.3,0.12,0.03,0.04,0.49,71,6.2,82,Project Aces,T,78
Ace Combat: Assault Horizon Legacy,3DS,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,37,7.8,26,Project Aces,T,71
Ace Combat: Joint Assault,PSP,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,30,7.2,12,Project Aces,T,71
Achtung Panzer: Kharkov 1943,PC,2010,Strategy,Mamba Games,0,0.01,0,0,0.02,6,8.3,20,Paradox Interactive,,70
Act of Aggression,PC,2015,Strategy,Focus Home Interactive,0,0.01,0,0,0.01,37,7.1,93,Eugen Systems,,71
Action Bass,PS,2000,Action,Take-Two Interactive,0.64,0.43,0,0.07,1.14,8,0,,Vingt-et-un Systems,E,51
Active Life: Extreme Challenge,Wii,2009,Sports,Namco Bandai Games,0.14,0.27,0,0.06,0.47,13,0,,TOSE,E,56
Active Life: Outdoor Challenge,Wii,2008,Sports,Atari,0.78,0.43,0.19,0.14,1.54,6,8.1,14,h.a.n.d. Inc.,E,69
Activision Anthology,PS2,2002,Misc,Activision,0.25,0.19,0,0.06,0.5,13,7.7,6,Contraband Entertainment,E,75
Activision Anthology,GBA,2003,Misc,Activision,0.03,0.01,0,0,0.05,13,0,,Aspyr,E,79
Activision Hits: Remixed,PSP,2006,Misc,Activision,0.05,0,0,0,0.05,10,0,,Digital Eclipse,E,75
Adrenalin Misfits,X360,2010,Racing,Konami Digital Entertainment,0.12,0.02,0,0.01,0.14,32,0,,Konami,E,50
Advance Guardian Heroes,GBA,2004,Role-Playing,Ubisoft,0.03,0.01,0,0,0.04,25,0,,Treasure,E,65
Advance Wars,GBA,2001,Strategy,Nintendo,0.5,0.19,0,0.01,0.7,28,9,95,Intelligent Systems,E,92
Advance Wars 2: Black Hole Rising,GBA,2003,Strategy,Nintendo,0.47,0.17,0,0.01,0.65,34,9.4,97,Intelligent Systems,E,89
Advance Wars: Days of Ruin,DS,N/A,Strategy,Nintendo,0.43,0.12,0,0.05,0.61,55,8.7,96,Intelligent Systems,E10+,86
Advance Wars: Dual Strike,DS,2005,Strategy,Nintendo,0.3,0.02,0.04,0.03,0.39,49,9,163,Intelligent Systems,E,90
Advent Rising,XB,2005,Action,THQ,0.1,0.03,0,0,0.13,50,7.5,68,GlyphX Games,T,68
Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,Action,Little Orbit,0,0.07,0,0,0.08,5,5.6,8,WayForward,E10+,65
Adventure Time: The Secret of the Nameless Kingdom,X360,2014,Action,Little Orbit,0,0.05,0,0,0.06,5,7.5,4,WayForward,E10+,58
Aedis Eclipse: Generation of Chaos,PSP,2006,Role-Playing,Idea Factory,0.02,0,0,0,0.02,20,6.5,11,"Neverland, Idea Factory",E10+,62
Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,0.02,0,0,0,0.03,11,7.8,9,Acquire,T,57
Aeon Flux,PS2,2005,Action,THQ,0.02,0.02,0,0.01,0.04,19,5.8,9,Terminal Reality,T,66
Aeon Flux,XB,2005,Action,THQ,0.01,0,0,0,0.01,27,3,4,Terminal Reality,T,69
Aero Elite: Combat Academy,PS2,2002,Simulation,Sega,0.04,0.03,0,0.01,0.07,18,7,8,Sega AM2,E,64
Afrika,PS3,2008,Adventure,Unknown,0.12,0,0.08,0.01,0.22,12,6.2,34,Rhino Studios,E10+,63
Afro Samurai,X360,2009,Action,Atari,0.16,0.05,0,0.02,0.24,70,6.2,57,"Namco Bandai Games America, Namco Bandai Games",M,65
Afro Samurai,PS3,2009,Action,Atari,0.12,0.05,0,0.03,0.2,52,6.1,27,"Namco Bandai Games America, Namco Bandai Games",M,65
Agatha Christie: And Then There Were None,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0,0.01,0.07,23,6.2,12,AWE Games,T,50
Agatha Christie: Evil Under the Sun,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0,0.01,0.08,6,7.3,6,AWE Games,T,46
Agatha Christie: The ABC Murders,DS,2009,Adventure,JoWood Productions,0.08,0.01,0,0.01,0.1,11,6.5,4,Dreamcatcher,T,53
Agatha Christie: The ABC Murders,PC,2016,Adventure,Microids,0,0.02,0,0,0.02,15,8.5,144,Artefacts Studio,,66
Agatha Christie's The ABC Murders,PS4,2016,Adventure,Microids,0.01,0.01,0,0,0.03,17,6.2,12,Microids,T,67
Agatha Christie's The ABC Murders,XOne,2016,Adventure,Microids,0.01,0,0,0,0.01,7,7.5,8,Microids,,66
Age of Conan: Rise of the Godslayer,PC,2010,Role-Playing,Funcom,0,0.02,0,0,0.03,14,8.4,52,Funcom,M,83
Age of Empires II: The Age of Kings,PC,1999,Strategy,Microsoft Game Studios,0.01,0.08,0,0.01,0.09,21,9,801,Ensemble Studios,T,92
Age of Empires III,PC,2005,Strategy,Microsoft Game Studios,0,0.33,0,0.05,0.38,52,7.7,519,Ensemble Studios,T,81
Age of Empires III: The Asian Dynasties,PC,2007,Strategy,Microsoft Game Studios,0,0.05,0,0.01,0.06,19,8.5,71,Big Huge Games,T,81
Age of Empires Online,PC,2011,Strategy,Microsoft Game Studios,0.01,0.04,0,0.01,0.06,44,5.6,186,Gas Powered Games,E10+,70
Age of Empires: Mythologies,DS,2008,Strategy,THQ,0.16,0.03,0,0.02,0.21,28,6.9,20,Griptonite Games,E10+,78
Age of Empires: The Age of Kings,DS,2006,Strategy,THQ,0.18,0.02,0,0.02,0.22,38,7.9,59,Backbone Entertainment,E10+,80
Age of Mythology,PC,2002,Strategy,Microsoft Game Studios,0.02,0.06,0,0.01,0.09,31,8.9,484,Ensemble Studios,T,89
Age of Mythology: The Titans,PC,2003,Strategy,Microsoft Game Studios,0.02,0.02,0,0,0.04,25,8.7,119,Ensemble Studios,T,84
Aggressive Inline,PS2,2002,Sports,Acclaim Entertainment,0.17,0.13,0,0.04,0.35,31,8.7,14,"Z-Axis, Ltd.",T,85
Aggressive Inline,XB,2002,Sports,Acclaim Entertainment,0.05,0.01,0,0,0.06,20,7.7,7,"Z-Axis, Ltd.",T,85
Aggressive Inline,GC,2002,Sports,Acclaim Entertainment,0.04,0.01,0,0,0.06,16,7.8,5,"Z-Axis, Ltd.",T,88
Air Conflicts: Aces of World War II,PSP,2009,Simulation,Graffiti,0.05,0,0,0,0.05,12,0,,Cowboy Rodeo,T,36
Air Conflicts: Secret Wars,PS3,2011,Simulation,bitComposer Games,0.1,0.06,0,0.03,0.19,8,0,,Games Farm,T,51
Air Conflicts: Secret Wars,X360,2011,Simulation,bitComposer Games,0.06,0.02,0,0.01,0.08,14,0,,Games Farm,T,61
Air Conflicts: Secret Wars,PC,2011,Simulation,bitComposer Games,0,0.02,0,0.01,0.03,5,6.4,24,Games Farm,T,65
Air Traffic Chaos,DS,2007,Simulation,Ertain,0.05,0,0,0,0.05,8,0,,Sonic Powered,E,66
Airblade,PS2,2001,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,18,5.8,12,Criterion Games,T,70
Airborne Troops: Countdown to D-Day,PS2,2005,Shooter,Playlogic Game Factory,0.06,0.05,0,0.02,0.12,4,8.1,9,WideScreen Games,T,39
AirForce Delta Storm,XB,2001,Shooter,Konami Digital Entertainment,0.14,0.04,0,0.01,0.18,21,7.1,7,KCE Studios,E,61
AirForce Delta Storm,GBA,2002,Shooter,Konami Digital Entertainment,0.02,0.01,0,0,0.02,6,0,,Konami,E,71
AirForce Delta Strike,PS2,2004,Simulation,Konami Digital Entertainment,0.05,0.04,0,0.01,0.11,22,7,6,KCE Studios,T,66
Airline Tycoon 2,PC,2011,Simulation,Kalypso Media,0,0.04,0,0.01,0.05,4,5.5,30,Kalypso,E,57
Alan Wake,X360,2010,Action,Microsoft Game Studios,0.66,0.5,0.05,0.13,1.33,100,8.1,1156,Remedy Entertainment,T,83
Alan Wake,PC,2012,Action,Nordic Games,0,0.06,0,0.01,0.06,30,8,1473,Remedy Entertainment,T,83
Alex Rider: Stormbreaker,DS,N/A,Action,THQ,0.06,0,0,0,0.07,11,6.1,10,Altron,T,48
Alias,PS2,2004,Action,Acclaim Entertainment,0.05,0.04,0,0.01,0.11,31,8,10,Acclaim Studios Cheltenham,T,64
Alias,XB,2004,Action,Acclaim Entertainment,0.04,0.01,0,0,0.05,37,6,4,Acclaim Studios Cheltenham,T,64
Alice in Wonderland,Wii,2010,Adventure,Disney Interactive Studios,0.25,0.21,0,0.05,0.51,18,7.4,13,Etranges Libellules,E10+,69
Alice in Wonderland,DS,2010,Adventure,Disney Interactive Studios,0.25,0.17,0,0.04,0.47,24,0,,Etranges Libellules,E10+,78
Alice: Madness Returns,PS3,2011,Adventure,Electronic Arts,0.22,0.24,0.04,0.08,0.58,51,7.9,181,Spicy Horse,M,70
Alice: Madness Returns,X360,2011,Adventure,Electronic Arts,0.27,0.14,0.04,0.04,0.5,67,8.1,157,Spicy Horse,M,70
Alice: Madness Returns,PC,2011,Adventure,Electronic Arts,0,0.1,0,0.02,0.12,29,8.4,559,Spicy Horse,M,75
Alien Hominid,PS2,2004,Shooter,Zoo Digital Publishing,0.05,0.04,0,0.01,0.1,47,8.3,13,The Behemoth,T,78
Alien Hominid,GC,2004,Shooter,O3 Entertainment,0.07,0.02,0,0,0.09,28,8.5,15,The Behemoth,T,78
Alien Resurrection,PS,2000,Shooter,Fox Interactive,0.09,0.06,0,0.01,0.16,12,7.5,15,Argonaut Games,M,61
Alien Syndrome,PSP,2007,Role-Playing,Sega,0.07,0,0,0.01,0.08,20,6,9,Totally Games,T,51
Alien Syndrome,Wii,2007,Role-Playing,Sega,0.05,0,0,0,0.06,24,7.1,23,Totally Games,T,48
Alien: Isolation,PS4,2014,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,50,8.1,795,Creative Assembly,M,79
Alien: Isolation,XOne,2014,Shooter,Sega,0.22,0.24,0,0.04,0.51,24,7.8,314,Creative Assembly,M,78
Alien: Isolation,PC,2014,Shooter,Sega,0,0.14,0,0.01,0.14,41,8.4,1588,Creative Assembly,M,81
Alienators: Evolution Continues,GBA,2001,Action,Activision,0.03,0.01,0,0,0.03,4,0,,Digital Eclipse,E,54
Aliens in the Attic,DS,2009,Action,Playlogic Game Factory,0.05,0,0,0,0.05,7,6,5,Engine Software,E10+,58
Aliens versus Predator: Extinction,PS2,2003,Strategy,Electronic Arts,0.09,0.07,0,0.02,0.19,17,8.4,30,Zono Inc.,T,66
Aliens versus Predator: Extinction,XB,2003,Strategy,Electronic Arts,0.06,0.02,0,0,0.08,19,7.7,21,Zono Inc.,T,64
Aliens vs Predator,X360,2010,Shooter,Sega,0.55,0.4,0,0.11,1.06,64,7.3,247,Rebellion,M,64
Aliens vs Predator,PS3,2010,Shooter,Sega,0.41,0.46,0,0.18,1.04,57,7.3,168,Rebellion,M,65
Aliens vs Predator,PC,2010,Shooter,Sega,0,0.17,0,0.02,0.19,35,7.4,985,Rebellion,M,68
Aliens vs Predator: Requiem,PSP,2007,Action,Vivendi Games,0.03,0.12,0,0.07,0.22,34,5.6,19,Rebellion,T,49
Aliens: Colonial Marines,X360,2013,Shooter,Sega,0.36,0.34,0,0.07,0.77,47,3.8,449,Gearbox Software,M,48
Aliens: Colonial Marines,PS3,2013,Shooter,Sega,0.2,0.29,0,0.11,0.6,25,3.6,295,Gearbox Software,M,43
Aliens: Colonial Marines,PC,2013,Shooter,Sega,0.1,0.06,0,0.02,0.18,40,3.5,1156,Gearbox Software,M,45
Aliens: Infestation,DS,2011,Action,Sega,0.09,0.05,0,0.02,0.16,43,8.2,29,"Gearbox Software, WayForward",T,76
All Star Karate,Wii,2010,Action,THQ,0.13,0.07,0,0.02,0.22,4,0,,THQ,E10+,46
All-Pro Football 2K8,X360,2007,Sports,Take-Two Interactive,0.24,0,0,0.02,0.26,22,6.8,52,Visual Concepts,E10+,75
All-Pro Football 2K8,PS3,2007,Sports,Take-Two Interactive,0.14,0,0,0.01,0.15,23,7.3,21,Visual Concepts,E10+,73
All-Star Baseball 2002,PS2,2001,Sports,Acclaim Entertainment,0.27,0.21,0,0.07,0.56,16,7.6,8,Acclaim Studios Austin,E,77
All-Star Baseball 2002,GC,2001,Sports,Acclaim Entertainment,0.17,0.04,0,0.01,0.22,17,5.6,9,Acclaim,E,66
All-Star Baseball 2003,PS2,2002,Sports,Acclaim Entertainment,0.38,0.29,0,0.1,0.77,15,8.4,17,Acclaim Studios Austin,E,81
All-Star Baseball 2003,XB,2002,Sports,Acclaim Entertainment,0.19,0.06,0,0.01,0.26,15,8.1,7,Acclaim,E,79
All-Star Baseball 2003,GC,2002,Sports,Acclaim Entertainment,0.12,0.03,0,0,0.15,16,8,6,Acclaim,E,83
All-Star Baseball 2003,GBA,2002,Sports,Acclaim Entertainment,0.11,0.04,0,0,0.15,6,0,,Software Creations,E,77
All-Star Baseball 2004,PS2,2003,Sports,Acclaim Entertainment,0.21,0.16,0,0.05,0.42,19,7.5,11,Acclaim Studios Austin,E,78
All-Star Baseball 2004,XB,2003,Sports,Acclaim Entertainment,0.1,0.03,0,0,0.13,20,8.4,7,Acclaim,E,74
All-Star Baseball 2004,GC,2003,Sports,Acclaim Entertainment,0.06,0.02,0,0,0.08,14,9.2,5,Acclaim,E,80
All-Star Baseball 2005,PS2,N/A,Sports,Unknown,0.16,0.12,0,0.04,0.32,13,8.6,21,Acclaim,E,72
All-Star Baseball 2005,XB,N/A,Sports,Unknown,0.11,0.03,0,0.01,0.15,31,8.8,12,Acclaim,E,75
Alone in the Dark,X360,2008,Adventure,Atari,0.14,0.3,0,0.05,0.48,53,5.7,162,Eden Studios,M,58
Alone in the Dark,Wii,2008,Adventure,Atari,0.09,0.08,0,0.02,0.18,10,4.4,34,Hydravision,M,39
Alone in the Dark,PS2,2008,Adventure,Atari,0.03,0.02,0,0.01,0.06,10,5.4,24,Hydravision,M,47
Alone in the Dark,PC,2008,Adventure,Atari,0,0.01,0,0,0.01,19,5.7,148,Eden Studios,M,55
Alone in the Dark: Inferno,PS3,2008,Adventure,Atari,0.09,0.03,0,0.02,0.13,25,5.6,50,Eden Studios,M,69
Alone in the Dark: The New Nightmare,PS,N/A,Adventure,Infogrames,0.09,0.06,0,0.01,0.16,15,8.1,40,Darkworks,M,77
Alpha Protocol,PS3,2010,Role-Playing,Sega,0.19,0.17,0,0.07,0.43,49,6.9,117,Obsidian Entertainment,M,64
Alpha Protocol,X360,2010,Role-Playing,Sega,0.23,0.12,0,0.04,0.39,68,7.2,201,Obsidian Entertainment,M,63
Alpha Protocol,PC,2010,Role-Playing,Sega,0,0.03,0,0.01,0.03,25,7.5,511,Obsidian Entertainment,M,72
Alter Echo,PS2,2003,Shooter,THQ,0.06,0.05,0,0.02,0.13,26,7,9,Outrage Games,T,62
Alter Echo,XB,2003,Shooter,THQ,0.04,0.01,0,0,0.05,24,0,,Outrage Games,T,62
Alter Ego,PC,1985,Simulation,Activision,0,0.03,0,0.01,0.03,9,5.8,19,"Viva Media, Viva Media, LLC",T,59
Altered Beast: Guardian of the Realms,GBA,2002,Action,THQ,0.07,0.02,0,0,0.09,13,4.8,4,3d6 Games,T,63
Alundra,PS,1997,Role-Playing,Psygnosis,0.13,0.09,0,0.01,0.23,9,9,41,Matrix Software,T,86
Alvin and the Chipmunks,PS2,2007,Misc,Brash Entertainment,0.04,0.03,0,0.01,0.07,5,4.5,6,Sensory Sweep,E,33
Alvin and the Chipmunks,Wii,2007,Misc,Eidos Interactive,0.05,0,0,0,0.05,4,3.6,20,Sensory Sweep,E,30
Amazing Island,GC,2004,Strategy,Sega,0.04,0.01,0,0,0.06,22,6.6,7,Hitmaker,E,59
American Bass Challenge,GBA,2001,Sports,Starfish,0.03,0.01,0,0,0.05,5,0,,Starfish,E,69
American Chopper,PS2,2004,Racing,Zoo Digital Publishing,0.35,0.01,0,0.06,0.42,4,7.5,13,Creat Studios,T,47
American Chopper,XB,2004,Racing,Zoo Digital Publishing,0.11,0.03,0,0.01,0.15,6,5.9,9,Creat Studios,T,44
American Chopper 2: Full Throttle,GC,2005,Racing,Activision,0.04,0.01,0,0,0.05,4,0,,Creat Studios,T,54
American Idol,PS2,2003,Misc,Codemasters,0.27,0.21,0,0.07,0.55,14,4.8,12,Hothouse Creations,E,41
America's Army: Rise of a Soldier,XB,2005,Shooter,Ubisoft,0.19,0.05,0,0.01,0.25,19,7.4,21,Secret Level,T,70
America's Army: True Soldiers,X360,2007,Shooter,Ubisoft,0.08,0,0,0.01,0.08,11,6.7,55,Red Storm Entertainment,T,43
America's Test Kitchen: Let's Get Cooking,DS,2010,Simulation,Nintendo,0.25,0,0,0.02,0.26,4,5.6,9,Indies Zero,E,87
AMF Bowling 2004,XB,2003,Sports,Mud Duck Productions,0.22,0.06,0,0.01,0.3,6,4.4,8,,,48
AMF Xtreme Bowling,PS2,2006,Sports,Mastertronic,0.01,0.01,0,0,0.02,4,4.2,5,"Atomic Planet Entertainment, Mud Duck Productions",E,30
Amped 2,XB,2003,Sports,Microsoft Game Studios,0.2,0.04,0,0.01,0.25,34,7.7,20,Indie Built,E,80
Amped 3,X360,2005,Sports,Take-Two Interactive,0.13,0.02,0,0.01,0.16,49,7.1,36,2K Sports,T,72
Amped: Freestyle Snowboarding,XB,2001,Sports,Microsoft Game Studios,0.69,0.11,0,0.02,0.82,30,9,20,Indie Built,E,78
Amplitude,PS2,2003,Misc,Sony Computer Entertainment,0.09,0.07,0,0.02,0.18,35,8.8,26,Harmonix Music Systems,T,86
Anarchy Reigns,PS3,2012,Action,Sega,0.1,0.03,0.06,0.02,0.2,35,8.2,106,PlatinumGames,M,71
Anarchy Reigns,X360,2012,Action,Sega,0.12,0.02,0.02,0.01,0.17,38,7.9,105,PlatinumGames,M,73
Angry Birds Star Wars,PS3,2013,Strategy,Activision,0.1,0.14,0,0.05,0.29,6,3.6,23,Exient Entertainment,E,49
